"","n","p","sd"
"791",75,13,3.98116166981524
"792",80,13,4.37988779370284
"793",85,13,4.06518494575783
"794",90,13,4.47031245746163
"795",95,13,4.56497205350112
"796",100,13,4.65747359643697
"797",120,13,5.17088631925255
"798",140,13,4.86975074945413
"799",160,13,5.51465612353155
"800",180,13,6.40919565505092
"801",200,13,6.13424156664782
"802",300,13,7.72290042372514
"803",400,13,8.57946010413196
"804",500,13,9.94199761531427
"805",2,14,0.499220497904121
"806",3,14,0.650550597879988
"807",4,14,0.811955267723487
"808",5,14,0.879569904032876
"809",6,14,0.96110280041462
"810",7,14,1.06076676543586
"811",8,14,1.18778329072632
"812",9,14,1.18947435711374
"813",10,14,1.27987907720273
"814",11,14,1.48949419764701
"815",12,14,1.53707122141379
"816",13,14,1.48587148513987
"817",14,14,1.64117864252598
"818",15,14,1.59092906076352
"819",16,14,1.76634506095832
"820",17,14,1.86055997406303
"821",18,14,1.79611529439337
"822",19,14,2.04639037523127
"823",20,14,1.89948419340752
"824",21,14,2.03585325906911
"825",22,14,2.08220505461091
"826",23,14,2.21923976298825
"827",24,14,2.14882812517842
"828",25,14,2.35800784668438
"829",26,14,2.21731423394617
"830",27,14,2.48290132606491
"831",28,14,2.44036408849625
"832",29,14,2.46543441084342
"833",30,14,2.57180303566804
"834",31,14,2.80845367779166
"835",32,14,2.38249478636054
"836",33,14,2.58715419605613
"837",34,14,2.65878178928153
"838",35,14,2.69038395571073
"839",36,14,2.71861256367228
"840",37,14,2.8624716100938
"841",38,14,2.92137762642574
"842",39,14,2.72560444635496
"843",40,14,2.82515619704264
"844",41,14,2.63127211911351
"845",42,14,3.04561221576947
"846",43,14,3.00066575527405
"847",44,14,3.09052694275905
"848",45,14,2.94068241490417
"849",46,14,3.04503880213909
"850",47,14,2.987305638008
"851",48,14,3.35915459572642
"852",49,14,3.09146580185195
"853",50,14,3.29930326130385
"854",55,14,3.37897727680817
"855",60,14,4.20652759076406
"856",65,14,3.67677759285719
"857",70,14,3.45591038409774
"858",75,14,4.63816102441929
"859",80,14,4.0433704036491
"860",85,14,4.42999994328301
"861",90,14,4.82743416350913
"862",95,14,4.68912727198402
"863",100,14,4.54668414159342
"864",120,14,4.97541442934341
"865",140,14,5.37226966998448
"866",160,14,5.44094840978941
"867",180,14,6.40553898186883
"868",200,14,6.6900060466731
"869",300,14,8.58963820088545
"870",400,14,9.64976631581039
"871",500,14,10.2798028548056
